BAB,Kapasitas_Fungsional,Indikator,Pertanyaan,L1,L2,L3,L4,L5
Regulasi/Peraturan Daerah,1.1 Ada tidaknya regulasi terkait Kaji Ulang RAD GRK/PRKD,Perda/pergub terkait Kaji Ulang RAD GRK /PPRKD,Apakah terdapat regulasi/peraturan terkait RAD GRK /PPRKD?,Tidak ada,Ada aturan terkait yang sudah mengatur sebagian kecil,Sekitar 50 % pasal mengatur tentang Kaji Ulang RAD GRK /PPRKD,Lebih dari 50 % pasal mengatur tentang Kaji Ulang RAD GRK /PPRKD,Terdapat peraturan yang cukup lengkap dan komprehensif
Regulasi/Peraturan Daerah,1.2 Tingkat operasionalisasi regulasi Kaji Ulang RAD GRK/PRKD,Tingkat operasionalisasi regulasi Kaji Ulang RAD GRK /PPRKD,Apakah aturan yang ada cukup operasional untuk diimplementasikan?,Tidak operasional,Sebagian kecil operasioal,Sekitar 50 % pasal mengatur detail operasional,Lebih dari 50 % pasal mengatur detail operasional,Operasional
Integrasi dalam Perencanaan Pembangunan Daerah,2.1 Integrasi PRKD dalam visi misi daerah,Visi Misi daerah terkait Kaji Ulang RAD GRK /PPRKD,Apakah Visi dan Misi daerah telah menunjukan adanya perhatian terhadap hasil RAD GRK /PPRKD?,Tidak ada,Terkait tidak secara secara langsung,Terdapat beberapa kata yang menunjukan kaitan tersebut hanya pada satu misi,Terdapat beberapa kata yang menunjukan kaitan tersebut di beberapa misi,Cukup jelas menyebutkan perhatian terhadap pertumbuhan ekonomi hijau disemua visi dan misinya
Integrasi dalam Perencanaan Pembangunan Daerah,2.2 Integrasi PRKD dalam isu strategis pembangunan daerah,Isu Strategis yang menjadi dasar perlunya Kaji Ulang RAD GRK /PPRKD,Apakah terdapat Isu Strategis yang menjadi dasar perlunya Kaji Ulang RAD GRK /PPRKD?,Tidak ada,Terdapat satu isu strategis yang relevan,Sekitar 50 % dari isu strategis terkait,Lebih dari 50 % dari isu strategis terkait,Semua Isu memperlihatkan pentingnya Kaji Ulang RAD GRK /PPRKD
Integrasi dalam Perencanaan Pembangunan Daerah,2.3 Integrasi PRKD dalam prioritas pembangunan daerah,Prioritas pembangunan terkait pentingnya Kaji Ulang RAD GRK /PPRKD,Berdasarkan dokumen perencanaan pembangunan yang sudah disusun apakah prioritas pembangunan memperlihatkan perhatian terhadap implementasi RAD GRK /PPRKD?,Tidak ada,Adaanya unsur Kaji Ulang RAD GRK /PPRKD dalam prioritas pembangunan,Sekitar 50 % Prioritas pembangunan menunjukan perhatian utama terhadap hasil Kaji Ulang RAD GRK /PPRKD,Lebih dari 50 % mayoritas Prioritas terkait dengan Kaji Ulang RAD GRK /PPRKD,Seluruh prioritas pembangunan merupakan implementasi Kaji Ulang RAD GRK /PPRKD
Integrasi dalam Perencanaan Pembangunan Daerah,2.4 Integrasi PRKD dalam indikator pembangunan daerah,Indikator Kaji Ulang RAD GRK /PPRKD,Apakah terdapat indikator terkait RAD GRK /PPRKD dalam Indikator pembangunan daerah?,Tidak ada,Beberapa indikator relevan dengan Kaji Ulang RAD GRK /PPRKD,Sekitar 50 % indikator relevan,Lebih 50 % indikator relevan,Semua Indikator relevan dengan hasil Kaji Ulang RAD GRK /PPRKD
Integrasi dalam Perencanaan Pembangunan Daerah,2.5 Integrasi PRKD dalam program dan kegiatan pembangunan daerah,Jumlah Program terkait hasil Kaji Ulang RAD GRK /PPRKD,Apakah program terkait RAD GRK /PPRKD sudah di rencanakan (RPJPD/RPJMD) dan sudah dilaksanakan?,Tidak ada,Terdapat program telah direncanakan dan dilaksanakan,Sekitar 50 % program direncanakan dan dilaksanakan,Lebih 50 % program direncanakan dan dilaksanakan,Program pembangunan telah dirancang dan dilaksanakan dalam kerangka Kaji Ulang RAD GRK /PPRKD
Integrasi dalam Perencanaan Pembangunan Daerah,2.5 Integrasi PRKD dalam program dan kegiatan pembangunan daerah,Integrasi diantara Program dan kegiatan,Apakah terdapat integrasi diantara program/kegiatan Kaji Ulang RAD GRK /PPRKD dengan kegiatan pembangunan?,Tidak ada,Terdapat setidaknya 1 integrasi,Sekitar 50 % terintegrasi,Lebih 50 % terintegrasi,Terintegrasi secara sekeluruhan
Proses,3.1 Pelaksanaan Kaji Ulang RAD GRK/PRKD,Proses pelaksanaan Kaji Ulang RAD GRK /PPRKD,Sejauh mana pelaksanaan Kaji Ulang RAD GRK/PPRKD?,Belum dilaksanakan,Penyusunan Awal,Draft 0 sektor,Dalam tahap pengesahan,Telah memiliki dokumen Kaji Ulang RAD GRK /PPRKD
Proses,3.2 Keja sama lembaga dalam pelaksanaan Kaji Ulang RAD GRK/PRKD,Penunjukkan OPD/lembaga/kelompok kerja yang mengawal atau melakukan Kaji Ulang RAD GRK /PPRKD,Apakah terdapat OPD/lembaga/kelompok kerja yang bertanggung jawab dalam Kaji Ulang RAD GRK/PPRKD?,Tidak ada,Dikerjakan oleh konsultan,Dilakukan oleh beberapa orang,Dilakukan oleh OPD yang sesuai tugas dan fungsinya,Dilakukan oleh OPD yang sesuai tugas dan fungsinya dengan pelibatan parapihak melalui Pokja
